Route,Location,Latitude,Longitude,URL,votes_most_log
Up Staged (V2 2.5 59),Fountainebleau Boulder,39.35388,-104.76889,https://www.mountainproject.com/route/105749875/up-staged,1.7708520116421442
"Hamburger (V4+ 2.9 52) 
 Big Cat (V4 PG13 3.9 24) 
 Cheeseburger (V4 2.9 43) 
 Center Route (Corridor) aka Hall Pass (V0 3.1 27) 
 Hyperion Arete (V3 2.3 29) 
 Linoleum aka Center Route Sultry (V2 3.1 8)",The Lion's Den,40.22683,-105.34736,https://www.mountainproject.com/route/106658412/hamburger,1.7160033436347992
Dharma Bums (V4+ 3.6 39),Thug Roof,40.21205,-105.55425,https://www.mountainproject.com/route/117362024/dharma-bums,1.591064607026499
"Pratt's Mantel (V2+ 2.9 56) 
 Pratt's Overhang (V3 3.0 53) 
 Aerial Burial (V3 3.1 14) 
 Gill Swing (V4 3.2 6) 
 Crystal Corner (V2+ 2.6 16)",Pratt's Rock aka Pratt's Overhang,40.00107,-105.29658,https://www.mountainproject.com/route/106035916/pratts-mantel,1.7481880270062005
Knife Wrench! (V4 3.9 35),Scrubs Boulder,38.94128,-108.48438,https://www.mountainproject.com/route/107165410/knife-wrench,1.5440680443502757
"The Acro-Ace (V4 PG13 2.9 56) 
 Citadel V1 (V1 2.6 18)",Castle Rock,39.9787,-105.4551,https://www.mountainproject.com/route/106527391/the-acro-ace,1.7481880270062005
"South Line (V4 2.9 56) 
 Standard Route (V3 2.7 40)",Scenic Rock,40.31731,-105.21261,https://www.mountainproject.com/route/105756283/south-line,1.7481880270062005
"Petrified Arete (V3 2.9 56) 
 Petrified Jugs (V1+ 2.5 36) 
 Z Flake (V2 2.6 23)",Petrified Boulder,37.31088,-107.8842,https://www.mountainproject.com/route/106393974/petrified-arete,1.7481880270062005
"Eastern Priest (V4 R 3.9 39) 
 Crankakee (V3+ PG13 4.0 1) 
 Wavy Gravy (V3-4 4.0 1)",River Block,39.92981,-105.2881,https://www.mountainproject.com/route/111106740/eastern-priest,1.591064607026499
"The Nipple Wall (V3 R 3.6 45) 
 North Slab Right Overhang (V2 2.7 14) 
 North Slab - Leaning Seam (V0 2.5 16)",Nipple Wall,40.56769,-105.15671,https://www.mountainproject.com/route/105755962/the-nipple-wall,1.6532125137753437
Vai (5.11c V4+ 2.5 67),G3,39.71222,-107.69193,https://www.mountainproject.com/route/106194399/vai,1.8260748027008264
"Center Route (V0 2.7 64) 
 Lower Fin Traverse (V2 2.6 39) 
 Undercling Fin (V0 1.8 45) 
 Right Route (V0 1.8 36)",Lower Fin,40.02263,-105.2984,https://www.mountainproject.com/route/105757858/center-route,1.806179973983887
Skunk Rub (V4-5 3.2 57),Skunk Rub Boulder,40.32093,-105.21397,https://www.mountainproject.com/route/106055181/skunk-rub,1.7558748556724915
Aspen Arete (V4 3.1 59),Aspen Boulder,39.63431,-105.71078,https://www.mountainproject.com/route/113383319/aspen-arete,1.7708520116421442
"The Buddha Belly (V3 3.6 50) 
 Highball/Mini-Cliff Standard (V3- 2.8 18) 
 The Classic Warmup (V1 2.2 25)",The Freight Train Boulder,39.92511,-105.33782,https://www.mountainproject.com/route/107112182/the-buddha-belly,1.6989700043360187
The Scoop (V3+ 3.8 46),The Scoop Area,40.5778,-105.1589,https://www.mountainproject.com/route/105759855/the-scoop,1.662757831681574
"Pocket Change (V4 3.4 54) 
 Pockets of Perception (V3 2.9 21)",Pocket Change Boulder,37.31462,-107.88626,https://www.mountainproject.com/route/106510250/pocket-change,1.7323937598229686
"King Conqueror (5.11d V3 R 3.6 50) 
 Southwest Layback (V1+ 2.3 47) 
 Veasy (V0+ 2.5 22)",King Conquerer,40.004,-105.29786,https://www.mountainproject.com/route/105760857/king-conqueror,1.6989700043360187
"Warm Up (V1 2.2 78) 
 Beginner's Luck (V2 3.0 53) 
 Warm-Up Boulder (V1 2.7 56)",Emerald Lake,40.30939,-105.66479,https://www.mountainproject.com/route/107651058/warm-up,1.8920946026904804
"Bootie (5.8+ V1 2.7 71) 
 Roof Crack (V0 2.4 77) 
 Sloper Traverse (aka Baby Grand) (V4+ 2.8 49) 
 Handcracker (V0 2.1 59) 
 Continental Shelf (V1+ 3.2 36) 
 North Arete (Unknown Roof) (V1- 2.2 47) 
 Spread Eagled (V1+ 2.8 29) 
 Around the Bulge (V1 2.3 37) 
 Roof Reach (V1+ 2.2 35) 
 Far North Slab (formerly ""Unknown Slab"") (V2 2.7 15) 
 Bootie Crack Traverse / Low (V0+ 2.2 25) 
 Brian's Song (V2 2.8 13)",Piano Ridge,40.53517,-105.14181,https://www.mountainproject.com/route/105756364/bootie,1.8512583487190752
"Tofurkey (V1 3.0 62) 
 Southwest Slots (V3+ 2.4 32) 
 Tofurkey Variation (V0-1 2.2 25) 
 Veggie Burger Arete (V1 1.9 30)",Tofurkey Area,39.65105,-105.18665,https://www.mountainproject.com/route/111016579/tofurkey,1.792391689498254
"The Wave (V2 2.4 76) 
 Stalactite (V2 1.8 46)",The Wave Boulder,38.91176,-104.85688,https://www.mountainproject.com/route/105792465/the-wave,1.8808135922807914
"Meditation Roof (V1+ 2.3 82) 
 Meditation Traverse (V3 2.8 60) 
 Meditation Low Traverse (V4 2.6 34) 
 Tommy's Way (V4-5 2.1 42) 
 Gastoned (Roof Variation) (V2 2.4 38) 
 Gastoned Direct (V1+ 2.3 27) 
 Arm and Hammer (V3 2.2 24)",Meditation Boulder,40.5661,-105.156,https://www.mountainproject.com/route/106051542/meditation-roof,1.9138138523837167
"Shorty Arete (V1 2.4 82) 
 Guanella Slab (V2 2.1 48)",Warm-Up Block One,39.63402,-105.70955,https://www.mountainproject.com/route/113383492/shorty-arete,1.9138138523837167
"Overhanging Hand Traverse (V1 3.6 58) 
 Gill Direct (V4 3.3 28) 
 South Undercling (V3 3.0 23) 
 Direct Route (V3 2.9 17)",The Flagstaff Amphitheatre,40.00287,-105.29697,https://www.mountainproject.com/route/105764724/overhanging-hand-traverse,1.7634279935629373
Jaws (V3 3.8 54),Jaws Boulder,39.11958,-106.72196,https://www.mountainproject.com/route/105755479/jaws,1.7323937598229686
"South Face (V0 2.7 78) 
 Wimpie's Revenge (V0 2.4 20)",Nook's Rock,40.00349,-105.29513,https://www.mountainproject.com/route/105753427/south-face,1.8920946026904804
