Route,Location,Latitude,Longitude,URL
"Does The Size of My Chalk Bag Matter? (V2 3.8 5) 
 Finger Bangin' (V2 3.0 5) 
 The Butter Churner (V2 3.0 2) 
 Lil Scud (V2 3.0 2) 
 ""It's My First Time"" (V0 2.7 6) 
 French Wiggler (V1+ 2.4 5) 
 Pocket Pussy (V2+ PG13 2.3 7) 
 Saucin' (V1- 2.5 2) 
 Finger Boo Boo (V2+ 2.0 2) 
 OG Mudbone (V1- 2.0 2) 
 Climbing Down and Dirty (V0 2.0 2)",Boulder 2,34.10186,-118.84602,https://www.mountainproject.com/route/117870617/does-the-size-of-my-chalk-bag-matter
"The Jam Crack (V-easy 2.6 27) 
 Arete (V2 2.1 7) 
 Jam Crack Face (V-easy 2.0 3)",Jam Rock,34.27002,-118.60556,https://www.mountainproject.com/route/105982698/the-jam-crack
"Diablo Overhang (V4 3.6 5) 
 Lycra Boy (V3 2.9 8) 
 Beelzebub (V3 2.5 2)",El Diablo Boulder,34.07418,-118.70394,https://www.mountainproject.com/route/120902950/diablo-overhang
"Unnamed V1 (V1 2.5 27) 
 Unnamed V4 (V4 2.5 15) 
 Unnamed V1 (V1 1.9 22) 
 Daddy Long Legs (V4 2.6 5) 
 Unknown V1 (V2 2.0 7)",Peanut Boulder,34.33979,-118.01607,https://www.mountainproject.com/route/108406715/unnamed-v1
Center Face (V1 3.7 3),Boulder 3,34.27314,-118.6127,https://www.mountainproject.com/route/120083715/center-face
"Overlord (V4-5 3.7 3) 
 The Prow (V3 3.4 8) 
 Malibu Lieback (V0 R 3.2 11)",Malibu Lieback Boulder,34.07438,-118.70406,https://www.mountainproject.com/route/112961538/overlord
"Mommies Right (5.8 V0 2.9 16) 
 Mommies Left (5.7 V-easy 2.7 13) 
 Mommies Face (5.8 V0 2.4 8) 
 Mommies Traverse (V0 1.6 5) 
 Easy Face (V-easy 1.0 2)",Mommys Boys,34.2707,-118.6042,https://www.mountainproject.com/route/105884452/mommies-right
"Muscle Beach (V1 R 3.5 4) 
 Lode Stone (V4 PG13 3.5 4) 
 Sandy Beach (V-easy R 3.2 5) 
 Loaded Bunny (V4 2.5 2) 
 Some Slab (V-easy PG13 2.5 2) 
 Play Boys (V2 1.8 5) 
 Beach Face (V3 1.7 3) 
 Chico's Locos (V1 1.3 3) 
 Axle Problem (V1 PG13 1.0 3)",Zodiac Boulder,34.07673,-118.5914,https://www.mountainproject.com/route/112930824/muscle-beach
"Sticks and Stones (V3 3.5 4) 
 Belida (V4 3.5 2) 
 Toes To The Nose (V2 3.0 2) 
 Angular Arete (V2 3.0 2) 
 Angler (V2 3.0 2) 
 Choss Boss Splitter (V0 2.6 8) 
 Rawhide (V3 2.5 2) 
 Sidewinder (V2 2.5 2) 
 Watch Your Back (V1 2.2 5) 
 Mid Day Mantle (V0 2.0 3) 
 Tedious Tidings (V1 2.0 2) 
 West Side Slab (V1 2.0 2) 
 On The Shelf (V1 2.0 2) 
 Harry's Home (V0 1.8 4) 
 Stick Or Slip (V0 1.5 2)",KinderCare Boulders,33.63796,-117.41618,https://www.mountainproject.com/route/111469812/sticks-and-stones
"The Freezer (V3- 2.9 15) 
 The Refrigerator (V3 2.4 5) 
 Unnamed (V0- 1.7 6)",The Refrigerator,34.34053,-118.01664,https://www.mountainproject.com/route/108578670/the-freezer
"Oasis (V3 2.9 16) 
 Pit Problem (V0 1.5 6) 
 Pit Arete (V2 1.0 4) 
 Scoops (V-easy 1.0 2)",Oasis Boulder,34.07443,-118.70397,https://www.mountainproject.com/route/112961409/oasis
"Maple Canyon Arete (V2-3 3.0 13) 
 Illuminati (V1 2.8 16) 
 When the Levee Breaks (V2 2.4 14) 
 The Seam (V4 2.6 11) 
 Headwaters Ramp (V0 2.0 9) 
 Number Nine (V1 1.6 5)",The Headwaters,34.07777,-118.59257,https://www.mountainproject.com/route/112932687/maple-canyon-arete
"Eye Sockets (V1 3.3 8) 
 Left Arête (V2 3.0 4)",Boulder 1,34.102,-118.8457,https://www.mountainproject.com/route/112919969/eye-sockets
Heel Huckin (V3 3.4 5),Heel Huckin' Boulder,34.61019,-118.75234,https://www.mountainproject.com/route/113648518/heel-huckin
Juju’s Arete (V4 3.5 2),Middle San Juan Boulders,33.60677,-117.44584,https://www.mountainproject.com/route/119363649/jujus-arete
"Batmantle (AKA Wrestle with Bane) (V4 3.5 2) 
 Batshit (AKA Guano) (V4 3.5 2) 
 Batarang (V1 2.2 6) 
 Batwing (V1-2 2.2 5) 
 Utility Belt (V0- 1.0 3)",Batman Boulder,33.67322,-117.54857,https://www.mountainproject.com/route/114506368/batmantle-aka-wrestle-with-bane
"Moose Knuckle (V4 3.5 2) 
 El Chorizo (V4 2.7 9)",El Chorizo,33.63943,-117.44237,https://www.mountainproject.com/route/111525558/moose-knuckle
Niagara Fist (V1 R 3.5 2),Niagara Fist Boulder,34.09587,-118.73051,https://www.mountainproject.com/route/113066688/niagara-fist
"The Rollercoaster (V2 R 3.5 2) 
 West Face Complete (V0 2.6 11) 
 South West Corner (V0 2.1 20) 
 Center Route (V0 1.9 15) 
 Center Direct (V3 2.4 5) 
 Face to Jug (V1 2.5 2) 
 North West Arete - Left Side (V2 2.3 4) 
 Face and Crack (V0 1.9 10)",Carousel Rock,34.27194,-118.60359,https://www.mountainproject.com/route/105967878/the-rollercoaster
"Slant Lip Traverse (V0+ 2.4 23) 
 North Face - Left Side (V-easy 1.6 29) 
 North Face - Right Side (V0- 1.7 25) 
 The Edge (V-easy 1.5 28) 
 The Slab - Left (V-easy 1.7 23) 
 North Face - Left Side - ""Sans Hands"" (V0 2.4 8) 
 Slant Rock Mantle (V-easy 2.1 12) 
 Right Side (V-easy 1.3 6) 
 Center Slab (V-easy 1.3 6) 
 Center Right (V-easy 1.3 4) 
 Left Side (V-easy 1.0 6) 
 South Face Problem (V-easy 1.0 4)",Slant Rock,34.2696,-118.6055,https://www.mountainproject.com/route/114604654/slant-lip-traverse
Bow Sprits (V2 3.2 5),Bow Sprits Boulder,34.33995,-118.01593,https://www.mountainproject.com/route/121445414/bow-sprits
"Pyramid Arete (V-easy 3.0 8) 
 Pyramid Face (V-easy 2.6 11) 
 Topanga Lieback (V1 R 2.0 2) 
 unknown mantle (V1 1.5 2) 
 SW Arete (V-easy R 1.3 3)",The Purple Pyramid,34.07658,-118.59128,https://www.mountainproject.com/route/112930847/pyramid-arete
"Little Birdie (V2 3.0 7) 
 Tick Frog (V1+ 2.5 6) 
 Gelt (V1 PG13 2.5 2)",Tick Boulder,34.06595,-118.55954,https://www.mountainproject.com/route/119280123/little-birdie
