Route,Location,Latitude,Longitude,URL
Wild Kingdom (V3 4.0 2),The Magic Kingdom,49.69406,-123.13367,https://www.mountainproject.com/route/122696164/wild-kingdom
The Original (V1 3.4 14) The Frayed Edge of Sanity (V0+ 3.6 7) The Face Traverse (V4 3.5 2) Precious Metals (V2 3.1 7) Fight Night (V3 3.0 9) Grond (V4 3.0 4) Presstoe (V3 3.0 3) The Original Direct (V1 2.7 9) The Squeeze (V4 2.8 4) The Block (V4 2.7 3) Solitoodles (V4 2.7 3) The Cave Start (V3 2.3 8) The Arete (Aka: Northern Territory) (V2 2.3 7) Precious Metals Traverse (V3 2.5 2) Unintentionally Original (V3 2.3 4) Stand Alone (V2- 2.3 4) Didgeredoo (V-easy 2.0 3) Captain Scarlett (V3-4 2.0 2) Beside Myself (V2-3 2.0 2) Got Slab (V0- 2.0 2) The Grunge (V2- 2.0 2),Warm Up Boulder,49.34949,-121.58129,https://www.mountainproject.com/route/106422569/the-original
Gem (V4 3.7 6) Beast of Burden (V3 3.4 7) The Madness of Mankind (V4 3.5 4) Fire Up (V2 3.0 4) Fire Up Low (V3 3.0 3) Bulls on Parade (V3 3.0 3) Limax Maximus (V4 3.0 3) Slight Deviation Low (V2 3.0 2) Dystopian (V3 3.0 2) Propaganda Extravaganza (V2-3 2.8 5) Ativan Fan (V3 2.6 5) Neon Propaganda (V4-5 2.5 4) Straight Up (V2 2.5 4) One Hit Wonder (V3-4 2.4 5) Gone Doggin' (V0 2.3 8) Algorithm (V2 2.4 5) Juniper (V1 2.3 6) Backdraft (V2 2.5 2) Breadfan (V2- 2.3 3) Easy Therapy (V0- 2.3 3) Souvenir (V0- 2.3 3) Mythago (V3 2.3 3) Neon Press (V3 2.2 5) Slight Deviation (V0 2.3 4) Commitment (V4 2.3 4) S.D.I.T.S. (V1 2.0 7) Limax (V2 2.0 4) The Low Road (V3 2.0 3) Young and Frail (V2-3 2.0 3) Grounded (V1 2.0 3) Cyber Punk (V1 2.0 3) Sideways (V3 2.0 3) Rent Boy (V2 2.0 2) Isomorphic Algorithm (V3 2.0 2) Mudslide (V1 2.0 2) Passing Time (V0 2.0 2) Isomorphic Algorithm Low (V3 2.0 2) Church On Monday (V2 2.0 2) Not So Straight Up (V2 2.0 2),The Arena,49.35819,-121.56763,https://www.mountainproject.com/route/109312620/gem
360 Traverse (V0- 3.7 3),Riley Park Boulder,49.24155,-123.10388,https://www.mountainproject.com/route/119428252/360-traverse
Lost Arrow (V2 3.7 3) Riptide (V4 3.0 2),Beachside,49.34274,-117.83477,https://www.mountainproject.com/route/114548707/lost-arrow
The Monument (V4- 3.5 6) Blinded by the light (V4 3.5 4) Defib (V3- 3.3 4) Napping Caribou (V4 3.0 3) The Declother (Right side in) (V0 3.0 3) Oui Oui (V1 3.0 2) Stó:lōw (V4 3.0 2) Declother (Deskinner Finish) (V2+ PG13 3.0 2) The Declother (Left side in) (V1 3.0 2) Taïga (V3 2.8 4) Rock McDirt (V4 2.7 3) E.L.E (Everybody love everybody) (V3 2.5 4) Butt Surfer (V4 2.5 2) Menhir (V2 2.5 2) Filtered Light (V3-4 2.3 3) Robins Span (V3-4 2.3 3) What you Want (V2 2.3 3) Jungle Boogie (V0 2.3 4) Wrapped Up Like a Deuce (Aka: Underbite) (V3 2.0 4) La Belle Province (V2 2.0 4) As Easy As It Looks (V0 2.0 4) Totally Worth It (V2 2.0 4) Double Clutch (V4-5 2.0 2) Breakerfall (V1 2.0 2) Warmup (V0 2.0 2) Sain-Jean-Baptiste (V1 1.8 5),Pillar Boulder,49.35798,-121.51295,https://www.mountainproject.com/route/118924503/the-monument
Prime Time (V2 3.0 15) Catamite's Delight (V1 2.4 5) Shakeup (V0 2.0 4) Double J (V4 2.0 2),The Missing Boulders,49.6465,-123.2051,https://www.mountainproject.com/route/107790331/prime-time
Eager Puppy (V4 3.5 4) The Big Egg (V1 3.5 2) Bark if You're Friendly (V2 3.0 2) Sloper Warm-Up (V0 3.0 2) Traverse Warm-Up (V0- 3.0 2) Short Spread (V0- 2.5 2) Middle Age Spread (V4 2.7 3) Slab Arete (V0 2.3 3),West Side Boulders,49.35219,-123.24129,https://www.mountainproject.com/route/119007079/eager-puppy
Ledge-view Traverse (V2- 3.5 4) Trust Your Feet (V2+ 3.5 2) The Mindy Project (V0-1 3.5 2) Backside (V1-2 PG13 3.3 3) The Mindy Project (V0 3.0 3) Double Y (V2-3 PG13 3.0 2) Little K2 (V1+ R 2.5 2) Buddha’s Belly (V2+ PG13 2.0 2) Mosside (V1 2.0 2),Port Moody Bouldering,49.30832,-122.82849,https://www.mountainproject.com/route/116960898/ledge-view-traverse
Unknown (5.11d V4 R 3.4 5),(b) Daycare,49.43611,-119.56352,https://www.mountainproject.com/route/116184004/unknown
