Route,Location,Latitude,Longitude,URL,votes_most_log
"A Dog's Life (V1- 3.6 21) 
 Leashless and Free (V1 3.1 13) 
 The Res Dog Traverse (V3-4 3.0 4) 
 A Rare Breed (V1+ 2.6 10)",B.  Whining Dog Wall,35.11559,-111.58658,https://www.mountainproject.com/route/110316907/a-dogs-life,1.3222192947339193
She Lives (V6 3.3 29),She Lives Roof,35.07875,-111.60676,https://www.mountainproject.com/route/106279580/she-lives,1.462397997898956
The Photo Op (V0-1 4.0 12),Moran Point,36.00575,-111.92394,https://www.mountainproject.com/route/111880192/the-photo-op,1.0791812460476249
"The Diggler (V7 3.7 15) 
 Out The Window (V10 4.0 2) 
 3 Pump Chump (V3+ 3.4 14) 
 Lifestyles (V7-8 3.0 14) 
 Piano Man (V8 3.3 11) 
 Groundscore (V11 3.3 6)",Lifestyles Rock,34.46683,-112.44126,https://www.mountainproject.com/route/106588264/the-diggler,1.1760912590556813
"Super Roof (V5 3.6 36) 
 Drop Zone Center (V11 4.0 2) 
 Butthole sunning (V2 2.9 15)","Super Roof Area, Mountainaire",35.10337,-111.66048,https://www.mountainproject.com/route/107483899/super-roof,1.5563025007672873
Splitsville (V3 2.9 39),Splitsville,33.34297,-112.01071,https://www.mountainproject.com/route/116209802/splitsville,1.591064607026499
"Stuff Shootin' (V8 3.9 15) 
 Shootin Time (V5+ 3.8 9) 
 Arete Problem (V4 3.2 6) 
 DihedArete (V5 3.0 7) 
 Tree arete (V3 3.1 11) 
 Roof arete (V7+ 3.0 3) 
 Joey's problem (V8-9 3.0 3) 
 Shootin' Stuff (V9+ 2.5 2)",Across the Creek,34.88725,-111.7311,https://www.mountainproject.com/route/106550561/stuff-shootin,1.1760912590556813
"Jewel Thief (V9 3.7 25) 
 The Flake (V5 3.0 36) 
 Side Pulls (V3 2.3 37) 
 Big Bad Wolf (V9 3.3 4) 
 The Flake Left (V6 2.6 16) 
 North East Arete (V7+ 3.0 3) 
 Treyverse (V9 3.0 3) 
 the Flake SS (V8- 2.8 7)",Matterhorn Boulder,32.38276,-110.69378,https://www.mountainproject.com/route/106042075/jewel-thief,1.3979400086720377
"Pinch of Sugar (V5- 3.1 43) 
 The Scoop (V0 2.9 41) 
 Keyhole (V2- 2.8 38) 
 Stems And Seeds (V5 3.1 27) 
 Poopship Destroyer (V7 3.5 4) 
 2. (V1 2.7 17) 
 Cornerless Baggie (V4-5 3.0 2) 
 Sweets Arete (V1-2 2.8 4)",Seeds n' Stems Boulder,34.87147,-111.7534,https://www.mountainproject.com/route/106580732/pinch-of-sugar,1.6334684555795864
"The Tootsie Roll (V1 3.0 48) 
 The Bucket (V0- 2.8 44) 
 Syphilis Traverse (V4-5 3.5 13) 
 Dangling Wu Li Bastard (V3 3.0 36) 
 Dangling Woo Lee Bastard (V5 3.3 19) 
 Upside Down (V1+ 3.1 17) 
 Canyon Traverse (V0- 2.8 30) 
 Rusty's Nemesis (AKA The Pocket Problem) (V1 3.1 12) 
 Monster (V7-8 3.3 4) 
 Bloody Hell (V4 PG13 3.0 2) 
 Slapping the midnight whale (V0+ 3.3 3)",The Canyon Area,34.46764,-112.4375,https://www.mountainproject.com/route/110493384/the-tootsie-roll,1.6812412373755872
