Route,Location,Latitude,Longitude,URL
"Fidelman Arete (V1 2.1 77) 
 Figure Five (V2 1.9 11)",Fidelman Boulder,33.98416,-116.1526,https://www.mountainproject.com/route/106123972/fidelman-arete
"White Crack (V-easy 2.9 58) 
 Short Crack (V0 1.9 10)",Cap Rock,33.98965,-116.16317,https://www.mountainproject.com/route/106161774/white-crack
"Turtle Face, Left (V1 2.7 61) 
 Northwest Arete (V-easy 2.4 56) 
 Right Arete (V0- 2.3 40) 
 Turtle Face Center (V2 2.8 23) 
 Descent Route (V-easy 1.5 21) 
 Placebo (V0 2.0 10)",Wedge Boulder,34.00972,-116.16725,https://www.mountainproject.com/route/105901228/turtle-face-left
"Swinging Richard (V4 3.1 49) 
 Smoothie (V0+ 1.7 23) 
 Lumpy (V-easy 1.3 21)",Chocolate Boulder 1,34.06259,-116.22631,https://www.mountainproject.com/route/105789389/swinging-richard
"Gripper Traverse (V0 2.1 68) 
 Ripper (V2 2.0 26)",Trashcan Boulders,34.04026,-116.19707,https://www.mountainproject.com/route/105722803/gripper-traverse
"Mr. H (V-easy 2.0 70) 
 Voices Arete (V-easy 1.9 56) 
 Mr. Hyde (V0- 2.4 15) 
 Scissorlock (V1 1.7 28) 
 Mister E (V1 1.6 18)",Voices Boulder,34.02038,-116.16562,https://www.mountainproject.com/route/105725473/mr-h
Caveman Finish (V3 2.8 50),Caveman Boulder,34.01622,-116.1633,https://www.mountainproject.com/route/118130718/caveman-finish
"Dynamo Hum (V1 2.9 45) 
 Old Triangle Classic (V0+ 2.4 34)",Triangle Boulder,34.01678,-116.16341,https://www.mountainproject.com/route/105725293/dynamo-hum
Collieherb (V0 2.8 46),Collieherb Boulder,33.9884,-116.16268,https://www.mountainproject.com/route/105723304/collieherb
"Yardarm (V1 2.1 57) 
 Pig F**ker (V0+ 0.6 15)",Yardarm Boulder,34.01464,-116.1659,https://www.mountainproject.com/route/106039616/yardarm
Walking Mexican Down the Hall (V0 2.5 48),The Real Hall of Horrors,34.00056,-116.14758,https://www.mountainproject.com/route/106625231/walking-mexican-down-the-hall
"False Blockhead (V1 2.2 55) 
 Nitwit (V0 1.8 52) 
 Nitwitsit (V4 2.3 31)",The Blockhead,34.01475,-116.16589,https://www.mountainproject.com/route/106039638/false-blockhead
Picture Perfect (V1 2.5 48),Picture Perfect Boulder,33.9861,-116.15981,https://www.mountainproject.com/route/106039440/picture-perfect
"Piano Crack (V-easy 2.6 46) 
 Retrofit (V0 1.5 15)",Piano Rock,34.02807,-116.14776,https://www.mountainproject.com/route/106149998/piano-crack
