Route,Location,Latitude,Longitude,URL
"Jane's Journey (5.8+ 4.0 5) (Sport 1 85.0) 
 Smear Tactics (5.10a/b 3.6 7) (Sport 1 80.0) 
 Pull My Finger (5.11a 3.7 3) (Sport 1 nan) 
 Girls from Tulameen roll their joints all wrong (5.10c 3.4 5) (Sport 1 nan) 
 Don't Panic it's Organic (5.6 3.3 6) (Sport 1 100.0) 
 Big Deck Energy (5.6 3.3 3) (Sport 1 110.0) 
 Going Commando (5.6 3.3 3) (Sport, TR 1 110.0) 
 Safety Dance (5.6 3.3 3) (Sport, TR 1 100.0) 
 Under Pressure (5.11a 3.2 5) (Sport 1 50.0) 
 Baby Pitch (5.10b 3.0 3) (Sport 1 70.0) 
 Kurt and Fran (5.6 3.0 2) (Sport 1 110.0) 
 Crimp Shocktail (5.11b/c 3.0 2) (Sport 1 nan)",The East Wall,49.2814,-121.78585,https://www.mountainproject.com/route/120965984/janes-journey
"A Kind Eye (5.10a 4.0 5) (Sport 1 98.0) 
 Detour (5.10b 4.0 5) (Sport 1 82.0) 
 Take Your Time (5.11a 4.0 2) (Sport 1 72.0) 
 Black Lung (5.10c 3.8 4) (Sport 1 98.0) 
 Rat's Tooth (5.11a 3.3 3) (Sport 1 59.0) 
 Pistachio (5.10a 3.0 2) (Sport 1 59.0) 
 Not A Toy (5.10b 3.0 2) (Sport 1 59.0)",Main Wall,49.77609,-119.53263,https://www.mountainproject.com/route/116848669/a-kind-eye
"Apricot Jam (5.12b 4.0 5) (Sport 1 nan) 
 Italian Jam Shop (5.12a 3.7 7) (Sport 1 110.0) 
 Browbeaten (5.11c 3.3 7) (Sport 1 115.0) 
 Granola Bar (5.7 3.0 2) (Sport 1 80.0)",(f) Blipvert,49.44357,-119.56553,https://www.mountainproject.com/route/113151446/apricot-jam
"Practice Safe Six (5.11b/c 4.0 4) (Sport 1 100.0) 
 Goldilocks (5.11c 4.0 3) (Sport 1 nan) 
 Chugging Cranberry Juice in a Parkade (5.11c/d 4.0 2) (Sport 1 100.0) 
 Ferris Muellers Day Off (5.11b 3.7 7) (Sport 1 nan) 
 White Noise (5.12b/c 3.6 5) (Sport 1 nan) 
 Totalitarian Mind (5.10d 3.3 6) (Sport 1 16.0) 
 Moscow Mueller (5.10c 3.3 3) (Sport 1 45.0) 
 Cookie Monster (5.12c 3.0 4) (Sport 1 nan) 
 Magical Butt Stuff (5.11c 3.0 4) (Sport 1 nan)",Reggae Wall,49.07602,-121.71192,https://www.mountainproject.com/route/120805358/practice-safe-six
"Gollum (5.11a 4.0 4) (Trad, TR 1 50.0) 
 The Railway (5.10 3.0 2) (Sport, TR 1 65.0) 
 Hoveland Arete (5.10 3.0 2) (Trad, TR 1 100.0)",Lower Kitselas,54.54896,-128.49727,https://www.mountainproject.com/route/117010991/gollum
Glory Hole (5.11c 4.0 4) (Sport 1 90.0),Yellow Sling Wall,49.26634,-117.66303,https://www.mountainproject.com/route/114379166/glory-hole
Wapiti Mainline (5.11a PG13 3.8 6) (Sport 13 1300.0),Nomash Slab,49.99225,-126.72868,https://www.mountainproject.com/route/116138394/wapiti-mainline
Kung-Fu Panda (5.12b 4.0 3) (Sport 1 65.0),Bear Cave,49.82362,-119.36723,https://www.mountainproject.com/route/118758558/kung-fu-panda
"Shake & Bake (5.9 4.0 3) (Trad, TR 1 70.0) 
 Titty Bean (5.10a 4.0 2) (Sport, TR 1 60.0) 
 Revelations (5.10c 4.0 2) (Sport, TR 1 50.0) 
 The Deflowering (5.9 4.0 2) (Trad, TR 1 nan) 
 Double Take (5.8 4.0 2) (Trad, TR 1 70.0) 
 The Cowboys Way (5.11c 4.0 2) (Trad, TR 1 nan) 
 Sudden Impact (5.10c 4.0 2) (Trad, TR 1 62.0) 
 Wanglin (5.10a 3.8 4) (Trad, TR 1 70.0) 
 Trigger Finger Syndrome (5.11b 3.7 3) (Sport, TR 1 55.0) 
 Put in a Holding Pattern (5.10 3.7 3) (Trad, TR 1 nan) 
 Jory's Glory (5.10c 3.7 3) (Trad, TR 1 nan) 
 Dreamer (5.11a PG13 3.5 2) (Sport, TR 1 60.0) 
 Stumpy (5.8 3.3 3) (TR 1 nan) 
 Self Service Pump (5.10b 3.0 4) (Sport, TR 1 nan) 
 Couch Trip (5.5 3.0 3) (Trad, TR 1 70.0) 
 Weekend Warrior (5.7 3.0 2) (Trad, TR 1 70.0) 
 Hissy Fit (5.9 PG13 3.0 2) (Trad, TR 1 70.0)",Hassler Crag,55.61555,-121.89393,https://www.mountainproject.com/route/118794481/shake-bake
"The Screaming Cheeto Wheelie (5.12a 4.0 3) (Sport 1 60.0) 
 Back Draft (5.11a 3.6 5) (Sport 1 85.0) 
 Jack's Crack (5.8- 2.7 16) (Trad, TR 1 45.0) 
 Paul's Route (5.10a 2.7 12) (Sport 1 80.0) 
 Piton Traverse (5.10c/d 3.0 2) (Sport 1 65.0)",Hatzic Prairie,49.2036,-122.2622,https://www.mountainproject.com/route/109242465/the-screaming-cheeto-wheelie
